item,min_price,max_price,price_range,price_avg
Pants,80.95,220.0,139.05,174.79
It,28.0,250.0,222.0,145.75
Top,68.0,175.0,107.0,113.67
Dress,160.0,300.0,140.0,194.26
T-Shirt,70.0,265.0,195.0,110.17
Shirt,70.0,265.0,195.0,128.0
Pullover,155.0,165.0,10.0,162.65
Wrap,140.0,300.0,160.0,170.75
Leggings,98.0,165.0,67.0,140.47
Tank,68.0,115.0,47.0,82.86
