Column1,Product,Handle,Price,,,,,
85,Ice Pop Dress Pants,ice-pop-dress-pants-black,200,,,,,
86,Ice Pop Dress Pants,ice-pop-dress-pants-merlot,200,,,,,
87,Ice Pop Dress Pants,ice-pop-dress-pants-lake,200,,,,,
88,Inside Out Reversible Jacket,inside-out-reversible-jacket,250,,,,,
89,It's A Classic T-Shirt,its-a-classic-t-shirt,115,,,,,
90,It's a Swirl Wrap Skirt,its-a-swirl-wrap-skirt,175,,,,,
91,It's A Swirl Wrap Skirt,its-a-swirl-wrap-skirt-merlot,175,,,,,
92,It's A Swirl Wrap Skirt,its-a-swirl-wrap-skirt-chili,175,,,,,
93,Keep It Cozy Arm Warmers,keeping-it-cozy-warmers-black,85,,,,,
94,Keep It Cozy Arm Warmers,copy-of-keeping-it-cozy-warmers-pepper,85,,,,,
95,Keep It Cozy Arm Warmers,keeping-it-cozy-warmers-latte,85,,,,,
96,Kick Back Linen Pants,womens-high-waisted-linen-trouser-pants-kick-back,215,,,,,
97,Kick Back Linen Pants,kick-back-linen-pants-coconut-1,215,,,,,
98,Layered Up Thermal Leggings,womens-thermal-leggings-layered-up,150,,,,,
99,Layered Up Thermal Leggings,layered-up-thermal-leggings-moss-5,150,,,,,
100,Layered Up Thermal Leggings,layered-up-thermal-leggings-sage,150,,,,,
101,Layered Up Thermal Leggings,layered-up-thermal-leggings-latte,150,,,,,
102,LBD Dress,lbd-dress,190,,,,,
103,LBD Dress,lbd-dress-lake,190,,,,,
104,LBD Dress,lbd-dress-latte,190,,,,,
105,LBD Dress,lbd-dress-pinstripe,190,,,,,
106,Legacy Trench,the-legacy-trench-sesame,350,,,,,
107,Let Loose Linen Top,womens-linen-top-let-loose,175,,,,,
108,Lighten Up Sports Bra,womens-wireless-sports-bra-lighten-up,80,,,,,
109,Lighten Up Sports Bra,lighten-up-sports-bra-moss,80,,,,,
110,Lighten Up Sports Bra,lighten-up-sports-bra-shadow,80,,,,,
111,Lighter Days Shorts,womens-lightweight-shorts-lighter-days,110,,,,,
112,Like A Boss Pullover,womens-luxury-sweatshirt-like-a-boss,165,,,,,
113,Like A Boss Pullover,like-a-boss-sweatshirt-white,165,,,,,
114,Like A Boss Pullover,like-a-boss-sweatshirt-moss,165,,,,,
115,Like A Boss Pullover,like-a-boss-sweatshirt-sand,165,,,,,
116,Like A Boss Pullover,like-a-boss-sweatshirt-midnight,165,,,,,
117,Like A Boss Pullover,like-a-boss-sweatshirt-black,165,,,,,
118,Like A Boss Pullover,like-a-boss-sweatshirt-oat,165,,,,,
119,Like A Boss Pullover,like-a-boss-pullover-sage,165,,,,,
