Unnamed: 0,Cloth_Desc,Price
100,Women's Simply Vera Vera Wang Roll-Tab Sleeve Popover ...,36.00
101,Women's LC Lauren Conrad High-Waist Skinny Ankle ...,39.99
102,Women's Nine West Long Sleeve Twist Front Top,36.99
103,Juniors' SO® Oversized Zip-Up Hoodie,32.40
104,Women's Croft & Barrow® Essential Crewneck Tee,11.99
105,Maidenform® Love the Lift® Natural Boost Push-Up Bra ...,44.00
106,Women's Nine West Slimming Bootcut Jeans,34.99
107,Vanity Fair® Beauty Back Back Minimizer Bra 76080,50.00
108,Plus Size Jockey® Elance 3-pk. Briefs Panty Set 1486,24.00
109,Women's Sonoma Goods For Life® Wide-Waist Capri ...,16.00
110,Women's Nine West Midi Shirt Dress,54.00
111,Juniors' WallFlower High-Rise Sassy Ankle Jeggings,39.99
112,Maidenform® One Fab Fit® Extra Coverage Lace T-Back ...,44.00
113,Bali® Double Support Spa-Closure Comfort-U Wireless ...,44.00
114,Women's Simply Vera Vera Wang High-Rise Ponte Bootcut ...,25.99
115,Juniors' SO® Crossover Waistband Flare Legging,20.29
116,Women's Sonoma Goods For Life® Button Front Tiered ...,35.20
117,Women's Sonoma Goods For Life® Everyday Camisole,7.99
118,Women's Nine West Essential Soft-Spun Long Sleeve ...,17.99
119,Women's Simply Vera Vera Wang Roll-Tab Relaxed ...,62.99
120,Women's Nine West Dolman Sleeve Wrap Dress,36.00
121,Vanity Fair® Sport Full-Figure Wireless Bra 71500,50.00
122,Women's Tek Gear® Essential Hooded Jacket,26.99
123,Bali® Comfort Revolution® Easylite® Seamless Wireless ...,48.00
124,Women's Simply Vera Vera Wang High-Rise Flare Pants,47.50
125,Women's Croft & Barrow® Pull-On Capri Jeans,36.00
126,Tek Gear® Core Medium-Impact V-Neck Sports Bra,24.99
127,Women's Croft & Barrow® Splitneck Pintuck Blouse,32.99
128,Women's Croft & Barrow® Ruffle Placket Henley Top,36.00
129,Juniors' SO® Short Sleeve Crewneck Tee,9.99
130,Women's Eddie Bauer Cirruslite Packable Down Jacket,64.50
131,Women's FLX Affirmation High-Waisted 7/8 Ankle ...,28.62
132,Women's LC Lauren Conrad Fitted Blazer,59.99
133,Women's LC Lauren Conrad High-Waist Super Skinny ...,34.99
134,Women's Nine West Pleat Sleeve Crewneck Top,26.99
135,Women's Lee® Ultra Lux Comfort Waistband Straight-Leg ...,39.99
136,Women's Jockey® Elance Breathe 3-pack Pointelle ...,24.00
137,Women's AB Studio Shawl Collar Sweater Cardigan,29.99
138,Women's LC Lauren Conrad Ruffled Peasant Blouse,39.99
139,Women's Tek Gear® Performance Long Sleeve Tee,16.99
140,Women's Simply Vera Vera Wang V-Neck Top,44.00
141,Women's Nine West Double Breasted Blazer,62.40
142,Plus Women's Croft & Barrow® Classic Pull-On Jeans,29.99
143,Juniors' SO® Favorite Long Sleeve Zip-Up Hoodie,24.99
144,Petite Nine West Magic Waist Barely Bootcut Pants,38.99
145,Women's Croft & Barrow® Comfort Stretch Blazer,36.00
146,Plus Size Nine West Magic Waist Barely Bootcut Pants,38.99
147,Women's Jockey® 3-pk. Supersoft French Cut Panty Set ...,27.00
148,Juniors' SO® Low-Rise Bootcut Jeans,24.99
149,Women's Nine West Slimming Straight Jeans,34.99
150,Bali® Comfort Revolution Smart Sizes Wireless ...,44.00
151,Women's Nine West High-Waisted Wide-Leg Trouser ...,48.99
152,Plus Size Sonoma Goods For Life® Cargo Utility Capri ...,40.00
153,Playtex® 18-Hour Active Lifestyle Full-Figure Sports ...,21.99
154,Plus Size Croft & Barrow® Effortless Stretch Bootcut ...,36.99
155,Women's LC Lauren Conrad Feel Good Super High-Waist ...,39.99
156,Women's LC Lauren Conrad Raglan Ruffle-Sleeve Tunic,29.99
157,Women's Lee® Flex-To-Go Cargo Capri Pants,48.00
158,Juniors' SO® Favorite Long Leggings,11.99
159,Women's Nine West High-Waisted Tapered Pants,38.99
160,Juniors' Unionbay Blaire Stretch Twill Skinny Utility ...,39.99
161,Women's Croft & Barrow® Effortless Stretch Skort,36.00
162,Petite Tek Gear® Ultrasoft Fleece Pant,22.99
163,Women's Levi's® 724™ High Rise Straight Jeans,48.65
164,Women's Lee® Legendary Bootcut Jeans,34.99
165,Women's Gaiam Hudson Joggers,38.50
166,Women's Columbia Switchback III Hooded Packable ...,49.99
167,Women's Simply Vera Vera Wang Simply Modern Bootcut ...,31.00
168,Women's Croft & Barrow® Fit & Flare Midi Dress,39.99
169,Women's DRAPER JAMES RSVP™ High-Rise Skinny Jeans,54.40
170,Plus Size Sonoma Goods For Life® Essential Mid-Rise ...,12.99
171,Women's Jockey® Elance Breathe 3-pack French Cut ...,24.00
172,"Women's Sonoma Goods For Life® Easy Pull-On 5"" ...",32.00
173,Women's Gloria Vanderbilt Amanda Capris,54.00
174,Plus Size Tek Gear® Essential Hooded Jacket,26.99
175,Women's Levi's® 501™ High-Rise Straight Leg Jeans,59.15
176,Women's Tek Gear® Essential Short Sleeve Tee,14.99
177,Women's Nine West Knot-Back Long Sleeve Dress,35.00
178,Women's Croft & Barrow® Extra Soft V-Neck Cardigan,24.00
179,"Warners Cloud 9® Super Soft, Smooth Invisible Look ...",44.00
180,Warners Cloud 9® Super Soft Wireless Lift Comfort Bra ...,44.00
181,Women's Cuddl Duds® Cozy Short Sleeve Pajama Shirt & ...,40.50
182,Plus Size Croft & Barrow® Essential Comfort Stretch ...,31.40
183,Juniors SO® Favorite Seamless Tunic Cami,4.80
184,"Women's Sonoma Goods For Life® High-Waist 5"" Jean ...",32.00
185,Women's Levi's® Boyfriend Jeans,48.65
186,Women's ZeroXposur Lillian Plush-Lined Soft Shell ...,80.00
187,Women's Skechers® GOWALK™ Pants,44.10
188,Bali® Double Support Comfort-U Wireless Full-Figure ...,44.00
189,Women's Lee® Flex-To-Go Twill Bermuda Shorts,44.00
190,Women's Croft & Barrow® Essential Classic Pique Polo ...,16.99
