item,min_price,max_price,price_range,price_avg
Dress,98.0,748.0,650.0,268.74
Top,58.0,188.0,130.0,107.77
Knit,38.0,248.0,210.0,108.08
Silk,98.0,748.0,650.0,306.66
Linen,78.0,298.0,220.0,181.33
Pant,148.0,198.0,50.0,173.79
Rise,148.0,198.0,50.0,150.2
High,148.0,198.0,50.0,150.25
Skirt,98.0,188.0,90.0,141.85
Sweater,88.0,328.0,240.0,165.63
