Cloth_Desc,Listed_Price,,,,,
Noah Short Sleeve Shirt,$128.00 ,,,,,
Calix Dress,$148.00 ,,,,,
Foster Knit Two Piece,$168.00 ,,,,,
Talina Top,$148.00 ,,,,,
Redford Cotton Open Knit Sweater,$168.00 ,,,,,
Eldora Knit Top,$68.00 ,,,,,
Mayson Knit Dress,$128.00 ,,,,,
Wilder High Rise Wide Leg Cropped Jeans,$148.00 ,,,,,
Emmett Knit Top,$88.00 ,,,,,
Adel Tank,$58.00 ,,,,,
Beauden Dress,$148.00 ,,,,,
Julia Ribbed Sweater Tank,$98.00 ,,,,,
Leighton Coat,$398.00 ,,,,,
Iggy Super Wide Leg Slouch Jeans,$148.00 ,,,,,
Madalie Knit Two Piece,$148.00 ,,,,,
Emiliana Knit Dress,$98.00 ,,,,,
Madden Dress,$268.00 ,,,,,
Hudson Ribbed Sweater Tank,$88.00 ,,,,,
Julia Ribbed Sweater Tank,$98.00 ,,,,,
Rachelle Dress,$278.00 ,,,,,
Mar Linen Dress,$248.00 ,,,,,
Senna Dress,$328.00 ,,,,,
Jessi Linen Dress,$128.00 ,,,,,
Mar Linen Dress,$248.00 ,,,,,
Clara Crew Cardigan,$198.00 ,,,,,
Ingrid Dress,$378.00 ,,,,,
Inara Silk Dress,$428.00 ,,,,,
Kaelie Dress,$248.00 ,,,,,
Kaelie Dress,$248.00 ,,,,,
Braxton Handkerchief Top,$128.00 ,,,,,
Keira Silk Top,$148.00 ,,,,,
Finnley Knit Top,$88.00 ,,,,,
Alayna Linen Top,$148.00 ,,,,,
Nova Tank,$38.00 ,,,,,
Will Oversized Silk Shirt,$168.00 ,,,,,
Mar Linen Dress,$248.00 ,,,,,
Clara Crew Cardigan,$198.00 ,,,,,
London Top,$148.00 ,,,,,
Cynthia High Rise Straight Long Jeans,$148.00 ,,,,,
Bryson Dress,$228.00 ,,,,,
Lysander Dress,$298.00 ,,,,,
Prudence Knit Dress,$148.00 ,,,,,
Ethan Linen Pant,$178.00 ,,,,,
Olea Dress,$278.00 ,,,,,
Zila Dress Set,$328.00 ,,,,,
Zumi Knit Dress,$248.00 ,,,,,
Fallon Dress,$328.00 ,,,,,
Calix Dress,$148.00 ,,,,,
Hudson Ribbed Sweater Tank,$88.00 ,,,,,
Mavis Dress,$218.00 ,,,,,
Ember Top,$168.00 ,,,,,
Alayna Linen Top,$148.00 ,,,,,
Emiliana Knit Dress,$98.00 ,,,,,
Bea Skirt,$148.00 ,,,,,
Preston Linen Top,$128.00 ,,,,,
Jessi Linen Dress,$128.00 ,,,,,
Ellora Top,$98.00 ,,,,,
Ellora Top,$98.00 ,,,,,
Marco Bomber Jacket,$198.00 ,,,,,
Joelle Top,$148.00 ,,,,,
