Keyword,Frequency
Mushroom,3
Rolled,3
Cactus,3
Plisse,3
Joggers,3
Colorful,3
Color-block,3
Moon,3
Snap,3
Stacked,2
Funnel,2
Pinafore,2
Aurora,2
Celli,2
Ankle,2
U-ring,2
Trench,2
Exaggerate,2
Edge,2
Waistcoat,2
Rib-Knit,2
Rise,2
Adjustable,2
Bomber,2
Kawaii,2
O-Ring,2
overlay,2
Openwork,2
Hands,2
Suspender,2
Turtle,2
Button-Front,2
Checker,2
Moustache,2
Effect,2
Stone,2
3D,2
See,2
Sierra,2
Siler,2
Sweetness,2
Glamaker,2
Blue,2
Flannelette,2
Tobefonseca,2
Whisker,2
Foldover,2
Number,2
Press,2
Crease,2
Paeka,2
Mock-neck,2
Coconut,2
Chinese,2
Dragon,2
Pretty,2
Bratty,2
Studded,2
Japanese,2
Motorcycle,2
Stitching,2
Metal,2
Arm,2
Asymmetric,2
Eilly,2
Bazar,2
Abstract,2
Angel,2
Spaceship,2
ADYCE,2
Wedding,2
Guest,2
Bandage,2
Thumbholes,2
GOLDENLINE,2
Tanga,2
Future,2
Pad,2
Pineapple,2
Shell,2
Mid-Rise,2
Overalls,2
Tab,2
Wing,2
Wave,2
Heat,2
Map,2
Fairycore,2
Varsity,2
Bolero,2
Waterfall,2
Suede,2
Self-tie,2
Rainbow,2
Organza,2
Evening,2
Gold,1
Strappy,1
Open-Back,1
Herringbone,1
Sew,1
Paper,1
Bag,1
Eyelash,1
Knee-Length,1
Phone,1
Galaxy,1
Off-The-Shoulder,1
Blouson,1
Sailor,1
Cloud,1
High-Waisted,1
High-Slit,1
Academia,1
3sets,1
MIUSOL,1
Business,1
Scarf,1
Roll-up,1
Four,1
Mandala,1
Cut-waist,1
Cash,1
Layer,1
Elephant,1
Cloak,1
Carrot,1
Damask,1
Wool-Mix,1
Dr,1
Speakup,1
Animal,1
Tartan,1
Moto,1
LOONEY,1
TUNES,1
Borg,1
Buckled,1
Flocked,1
Confetti,1
Splash,1
Ink,1
HELLFUNCO,1
3,1
Appliques,1
Tummy,1
Control,1
Dr.kholoud,1
Applique,1
Vincenttrinidadart,1
Stirrup,1
Ringer,1
Fruit,1
Choker,1
MELIKE,1
FIRAT,1
Frog,1
Mandarin,1
Frida,1
Kahlo,1
Designer,1
Checked,1
Ashley,1
Baxter,1
Anime,1
One-Piece,1
SHEINBlues,1
Middle-Waisted,1
AriGameplays,1
Orange,1
4Pack,1
D&M,1
Missord,1
Buffalo,1
Topstitching,1
Brooch,1
Pompom,1
Stephanie,1
Durant,1
Peekaboo,1
Skater,1
T-Shirt,1
Angle,1
Line,1
Shrug,1
Hollow-out,1
Curvy,1
Milkmaid,1
Sollinarry,1
Dollar,1
Sparkly,1
Swim,1
Underwired,1
Slub,1
Double-Breasted,1
Heather,1
Grey,1
Brush,1
Semi-Cropped,1
Wings,1
Reflective,1
Popper,1
Building,1
EVER-PRETTY,1
Fishtail,1
Gown,1
Lime,1
Sleeves,1
Brief,1
Bird,1
Pointed,1
Honeycomb,1
Gowns,1
up,1
Sequince,1
