item,min_price,max_price,price_range,price_avg
Dress,2.75,58.0,55.25,13.92
Print,3.0,58.0,55.0,13.75
Solid,2.75,49.0,46.25,13.44
Top,3.0,44.9,41.9,12.8
Neck,3.25,45.4,42.15,13.18
Sleeve,4.0,39.0,35.0,13.9
Shoulder,3.0,50.0,47.0,13.49
Hem,3.75,44.9,41.15,13.96
Crop,3.0,44.0,41.0,12.9
Tee,3.25,50.0,46.75,12.62
