item,min_price,max_price,price_range,price_avg
Black,0.98,89.99,89.01,20.64
Dress,0.98,119.99,119.01,24.43
Jeans,2.98,59.99,57.01,17.19
Set,1.98,89.99,88.01,29.01
Blue,2.98,69.99,67.01,19.45
Wash,3.98,59.99,56.01,19.19
Mini,0.98,119.99,119.01,24.42
Jumpsuit,1.98,89.99,88.01,27.85
White,0.98,79.99,79.01,21.17
Medium,4.98,89.99,85.01,19.18
