Column1,Cloth_Desc,Price
127,Dare Devil High Rise Skinny Jeans - Medium Blue Wash,39.99
128,Cadet Kylie Camp Pants - Camo,39.99
129,Liliana Faux Leather Leggings - Black,14.0
130,Wanderlust Leggings - Black,8.98
131,Beverly Hills Tunic - Black,24.99
132,Your Needs Met Dress - Mocha,16.0
133,Fool For You Booty Lifter Ankle Jeans - Black,12.0
134,Full Grown Knot Dress - Black,29.99
135,Sophie High Waist Jegging - Medium Blue Wash,8.98
136,Go The Extra Mile Active Romper - Black,10.0
137,Effortless Seamless Biker Shorts - Black,7.0
138,Ella Skinny Jean - Medium,15.0
139,Nita Ribbed Cardigan - Black,15.0
140,Menace Jeans - Black,11.98
141,Your Needs Met Dress - Olive,16.0
142,Sugar Free Dress - White,44.99
143,Kim Basic Legging - Black,7.0
144,Lose it All Heel - Nude,39.99
145,Plot Twist Heel - Black,39.99
146,Mulberry Street Maxi Dress - Black,16.0
147,Valentina High Rise Flare Jeans - Black,24.99
148,Oooh Girl High Rise Ankle Jeans - Dark Denim,15.0
149,Little Miss High Rise Distressed Jeans - Light Blue Wash,13.98
150,Don't Get This Twisted Pant Set - Black,25.0
151,Heavy Lifting Distressed Skinny Jeans - Medium Blue,15.98
152,Relaxed Vibe Joggers - Black,14.0
153,Love Sex Magic Dress - Black,44.99
154,The Right Angle Skinny Jeans - Grey,18.0
155,Kora Midi Dress - Black,16.0
156,Make Some Noise Skinny Jeans - Dark Denim,12.0
157,Flame In Your Heart Skirt - Black,24.99
158,Give Good Love Skinny Jeans - Light Blue Wash,23.99
159,Emma Super Stretch High Rise Skinny Jean - Medium Wash,29.99
160,Melanie Mini Skirt - Black,12.0
161,String You Along Bodysuit - Black,8.98
162,Your Needs Met Dress - Navy,16.0
163,Deep In My Soul Flare Jeans - Dark Denim,23.99
164,Victoria High Waisted Dress Pants - Taupe,22.0
165,One of the Boys Dress - Denim,19.99
166,Super High Waist Denim Skinnies - Burgundy,8.98
167,Anna Dress - Black,4.98
168,Nature Made Dress - Navy,23.99
169,Always Leaving Jeans - Medium Wash,11.98
170,Luxe Ultra High Waist Skinny Jeans - Black,29.99
171,Wifey High Rise Booty Lifter Jeans - Light Blue Wash,24.0
172,Needing Something Jeans - Dark Denim,12.0
173,Running Around High Rise Legging - Heather Grey,8.0
174,Calidan Skinny Jeans - Dark Denim,15.0
175,Luxe Glam High Waist Skinny Jeans - Dark,27.99
176,Party Monster Booty Lifter Skinny Jeans - Medium Blue,19.99
177,Valentina High Rise Flare Jeans - Medium Blue Wash,24.99
178,Strapped Success Heel - Black,34.99
